Date,Open,High,Low,Close,Adj Close,Volume,MA_2_3,EMA_2_3,f_MA_10,f_EMA_10
2010-03-31,116.949997,117.519997,116.610001,117.0,95.625435,161078700,,,,
2010-04-01,117.800003,118.25,117.099998,117.800003,96.279289,161215200,,,0.02079488034189289,0.017349372956665894
2010-04-05,118.25,118.839996,117.91999799999999,118.760002,97.063919,105847600,-0.0036072665791497052,-0.001425565003375033,0.015186738153151436,0.012760431664494858
2010-04-06,118.41999799999999,119.25,118.290001,119.040001,97.292755,110384200,-0.003083819697568812,-0.0014221628791110871,0.007864587270733261,0.005590152568507894
2010-04-07,118.800003,119.360001,117.809998,118.360001,96.73698399999999,184576300,0.00016849480341068172,-7.818964145159869e-05,0.007039642077972142,0.003941497532954133
2010-04-08,117.949997,118.970001,117.599998,118.769997,97.072075,158704000,0.0013354194014711764,-0.0003795839510876455,0.01476849683366822,0.011866954363434911
2010-04-09,119.019997,119.599998,118.800003,119.550003,97.709579,133006500,-0.002237884636902763,-0.001368933436445025,0.013159916978034905,0.010234855706075583
2010-04-12,119.699997,120.050003,119.559998,119.739998,97.86488299999999,110279000,-0.0024377770246515307,-0.0013385266236009808,0.008439956291773918,0.004453241764328173
2010-04-13,119.620003,120.040001,119.0,119.83000200000001,97.938446,125043600,-0.0006539410888954016,-0.0010119513446833887,0.008184414701605656,0.0034948785257359442
2010-04-14,120.269997,121.190002,120.08000200000001,121.190002,99.049973,161609000,-0.0021298481100349227,-0.002488235540388533,0.006300574876076756,0.003350301968710325
2010-04-15,120.989998,121.57,120.949997,121.290001,99.13170600000001,144615300,-0.003876606957426892,-0.0020380256643672237,-0.0064857049841337755,-0.00966697492300583
2010-04-16,120.860001,121.290001,118.75,119.360001,97.554298,366786700,0.002396290581927021,0.0013824595670639764,-0.007659342009557617,-0.01281312620575584
2010-04-19,119.010002,119.93,118.470001,119.809998,97.922104,217947800,0.0047525512038265865,0.0008706540774683744,0.007925587232538799,0.0038490979408290966
2010-04-20,120.559998,120.980003,119.870003,120.879997,98.7966,157708000,-0.0027282577048263566,-0.0009870408060780938,0.004590611044008397,9.621222163144084e-05
2010-04-21,120.949997,121.230003,119.989998,120.660004,98.616798,192910100,-0.002649671541016122,-0.000662234328019915,-0.0070813858474747015,-0.010702248549587531
2010-04-22,119.809998,121.16999799999999,119.120003,121.019997,98.911041,115360300,0.00011032908483514343,-0.0008829139351905981,-0.00845354936337137,-0.010875961937774363
2010-04-23,120.940002,121.860001,120.629997,121.809998,99.556709,177335500,-0.002072762880879013,-0.0017060990274826787,-0.018079638524520852,-0.016888992798321244
2010-04-26,121.849998,122.120003,121.230003,121.349998,99.180756,143457300,-0.0015353430092999339,-0.0006449005122918084,-0.033108927561090594,-0.028434972450240105
2010-04-27,120.650002,121.339996,118.25,118.480003,96.83506,355853300,0.005267613148476313,0.00374736430150667,-0.03372062519521904,-0.030252532943989024
2010-04-28,119.050003,119.68,118.269997,119.379997,97.570625,300674100,0.006782695703354974,0.001977146729173985,-0.012550665617374876,-0.00826454320615319
2010-04-29,120.099998,121.110001,120.07,120.860001,98.78022800000001,193775000,-0.00455099348888054,-0.001034596739250607,-0.021611634820183287,-0.019239169656096226
2010-04-30,120.879997,121.010002,118.779999,118.809998,97.104759,270000900,-0.0012656360882280296,0.0016637447150012967,-0.037622051649648554,-0.03819344313012204
2010-05-03,119.379997,120.68,119.199997,120.349998,98.363426,182747900,0.003568052130814336,-0.0005871335150329029,-0.025157799430301886,-0.02639753743049645
2010-05-04,119.010002,119.029999,116.91999799999999,117.519997,96.05043,360353400,-0.0003503300195554732,0.0032096165149529524,-0.04294971571165767,-0.047490380757394014
2010-05-05,116.559998,117.800003,115.970001,116.82,95.478325,328973200,0.009046682998236293,0.003792368035633036,-0.024259673015466252,-0.03000919874738676
2010-05-06,116.260002,117.0,105.0,112.940002,92.307137,647356600,0.0076601554579257495,0.008340275538026886,-0.022744388803274805,-0.029574010742470007
2010-05-07,112.639999,113.769997,109.410004,111.260002,90.93405899999999,637558800,0.014035081521824352,0.008912737205985509,0.006047444553803209,0.00460104936041973
2010-05-10,115.809998,116.650002,114.910004,116.160004,94.938896,396159600,-0.0022572068703576864,-0.00123221128851866,0.019306114159529073,0.0241636879867984
2010-05-11,115.07,117.360001,114.910004,115.83000200000001,94.669189,317849800,-0.01360691086551949,-0.001989295689906982,-0.030965944181601264,-0.02326967540094852
